Age Group,Borough,2010,% of Total Borough Population - 2010,2020,% of Total Borough Population - 2020,2030,% of Total Borough Population - 2030,2040,% of Total Borough Population - 2040,Change in Number - 2010-2020,Change in Percent - 2010-2020,Change in Number - 2020-2030 ,Change in Percent - 2020-2030,Change in Number - 2030-2040 ,Change in Percent - 2030-2040,Change in Number - 2010-2040 ,Change in Percent - 2010-2040
Total,New York City,8242624,100.0,8550971,100.0,8821027,100.0,9025145,100.0,308347,3.74,270056,3.16,204118,2.31,782521,9.49
Total,   Bronx,1385108,100.0,1446788,100.0,1518998,100.0,1579245,100.0,61680,4.45,72210,4.99,60247,3.97,194137,14.02
Total,   Brooklyn,2552911,100.0,2648452,100.0,2754009,100.0,2840525,100.0,95541,3.74,105557,3.99,86516,3.14,287614,11.27
Total,   Manhattan,1585873,100.0,1638281,100.0,1676720,100.0,1691617,100.0,52408,3.3,38439,2,14897,0.89,105744,6.67
Total,   Queens,2250002,100.0,2330295,100.0,2373551,100.0,2412649,100.0,80293,3.57,43256,1.86,39098,2,162647,7.23
Total,   Staten Island,468730,100.0,487155,100.0,497749,100.0,501109,100.0,18425,3.93,10594,2.17,3360,0.68,32379,6.91
School-Age (5 to17) ,New York City,1260400,15.3,1282814,15.0,1347036,15.3,1342097,14.9,22415,1.78,64222,5.01,-4939,-0.37,81697,6.48
School-Age (5 to17) ,   Bronx,265052,19.1,259013,17.9,277830,18.3,281688,17.8,-6039,-2.28,18817,7.26,3858,1.39,16636,6.28
School-Age (5 to17) ,   Brooklyn,424704,16.6,441049,16.6,461688,16.8,454949,16.0,16345,3.85,20639,4.68,-6739,-1.46,30245,7.12
School-Age (5 to17) ,   Manhattan,157856,10.0,162931,10.0,177440,10.6,170114,10.1,5075,3.21,14509,8.9,-7326,-4.13,12258,7.77
School-Age (5 to17) ,   Queens,331926,14.8,341062,14.6,350544,14.8,355340,14.7,9137,2.75,9482,2.78,4796,1.37,23414,7.05
School-Age (5 to17) ,   Staten Island,80862,17.2,78759,16.2,79535,16.0,80005,16.0,-2103,-2.6,776,0.99,471,0.59,-857,-1.06
65 and over,New York City,1002208,12.2,1177215,13.8,1364178,15.5,1409708,15.6,175007,17.46,186963,15.88,45530,3.34,407500,40.66
65 and over,   Bronx,145882,10.5,171856,11.9,212334,14.0,228476,14.5,25974,17.8,40478,23.55,16142,7.6,82594,56.62
65 and over,   Brooklyn,294610,11.5,351609,13.3,408424,14.8,428845,15.1,56999,19.35,56815,16.16,20421,5,134235,46
65 and over,   Manhattan,214153,13.5,250806,15.3,278043,16.6,277444,16.4,36653,17.12,27237,10.86,-599,-0.22,63291,29.55
65 and over,   Queens,288219,12.8,325300,14.0,370214,15.6,377060,15.6,37081,12.87,44914,14,6846,1.85,88841,30.82
65 and over,   Staten Island,59344,12.7,77644,15.9,95163,19.1,97883,19.5,18300,30.84,17519,22.56,2720,2.86,38539,64.94
